name,rookie_yr,birth_state
Dad Clarke,1894,NY
Fred Clarke,1894,IA
Tom Colcolough,1894,SC
Frank Connaughton,1894,MA
Duff Cooley,1894,KS
Lem Cross,1894,NH
Dan Dugdale,1894,IL
Chauncey Fisher,1894,PA
Pat Flaherty,1894,MO
Mike Grady,1894,PA
George Harper,1894,WI
Fred Hartman,1894,PA
Bill Hassamaer,1894,MO
George Hodson,1894,PA
Charlie Irwin,1894,IL
Candy LaChance,1894,CT
Con Lucid,1894,Ireland
Luke Lutenberg,1894,IL
Win Mercer,1894,WV
Yale Murphy,1894,MA
George Nicol,1894,IL
Kip Selbach,1894,OH
Ollie Smith,1894,OH
Joe Sugden,1894,PA
Art Twineham,1894,IL
Huyler Westervelt,1894,NJ
Parke Wilson,1894,IL
John Anderson,1895,Norway
Varney Anderson,1895,IL
Tom Bannon,1895,MA
Frank Bonner,1895,MA
Andy Boswell,1895,NJ
Jake Boyd,1895,WV
Scoops Carey,1895,PA
Billy Clingman,1895,OH
Jimmy Collins,1895,NY
Monte Cross,1895,PA
Cozy Dolan,1895,MA
Tim Donahue,1895,MA
Bill Everitt,1895,IN
Brownie Foreman,1895,MD
Jim Gardner,1895,PA
Bill Hoffer,1895,IA
Marty Hogan,1895,United Kingdom
George Hogriever,1895,OH
Ducky Holmes,1895,IA
Bill Kissinger,1895,KY
John Malarkey,1895,OH
Mike McDermott,1895,MA
Dewey McDougal,1895,IL
Bill Moran,1895,IL
Sam Moran,1895,NY
Al Orth,1895,MO
Doc Parker,1895,NY
Walt Preston,1895,VA
Biff Sheehan,1895,CT
Tom Smith,1895,Canada
Harry Spies,1895,LA
Ace Stewart,1895,IN
Jim Sullivan,1895,MA
Fred Tenney,1895,NH
Bobby Wallace,1895,PA
Jack Warner,1895,IN
